Carico (N)	Deformazione (mm)	Sforzo (MPa)
406.58	333.78	27.429
407.17	334.20	27.469
407.95	334.62	27.521
408.55	335.04	27.562
409.87	335.46	27.651
410.00	335.88	27.660
409.88	336.30	27.652
410.28	336.72	27.678
410.60	337.13	27.700
410.27	337.55	27.678
410.06	337.97	27.664
409.89	338.39	27.652
409.66	338.81	27.637
409.34	339.23	27.616
410.19	339.65	27.673
409.30	340.07	27.613
408.85	340.49	27.582
409.05	340.90	27.595
410.11	341.32	27.667
410.50	341.74	27.693
410.94	342.16	27.723
411.68	342.58	27.773
412.19	343.00	27.807
412.82	343.42	27.850
413.80	343.84	27.916
414.83	344.26	27.985
415.64	344.68	28.040
416.21	345.10	28.079
416.59	345.52	28.105
417.67	345.93	28.177
418.66	346.35	28.244
419.32	346.77	28.289
419.66	347.19	28.311
419.91	347.61	28.329
420.46	348.03	28.365
421.00	348.45	28.402
421.83	348.87	28.458
422.16	349.29	28.480
422.07	349.70	28.474
422.13	350.12	28.478
422.21	350.54	28.483
422.29	350.96	28.489
423.10	351.38	28.543
423.88	351.80	28.596
424.46	352.22	28.635
425.04	352.64	28.675
425.74	353.06	28.721
425.97	353.48	28.737
426.72	353.90	28.788
427.38	354.31	28.832
427.68	354.73	28.853
428.12	355.15	28.882
428.66	355.57	28.918
429.40	355.99	28.968
429.50	356.41	28.976
430.36	356.83	29.034
430.91	357.25	29.070
430.95	357.67	29.073
430.98	358.09	29.075
431.27	358.51	29.095
431.96	358.93	29.141
432.33	359.35	29.166
432.65	359.76	29.188
432.76	360.18	29.195
434.12	360.60	29.287
433.76	361.02	29.263
434.61	361.44	29.320
434.75	361.86	29.330
434.91	362.28	29.340
435.06	362.70	29.351
435.36	363.12	29.370
435.69	363.53	29.393
436.25	363.95	29.431
437.10	364.37	29.488
436.94	364.79	29.477
437.57	365.21	29.520
438.96	365.63	29.614
439.39	366.05	29.642
439.81	366.47	29.671
440.14	366.89	29.693
439.79	367.31	29.670
440.79	367.72	29.737
441.85	368.14	29.809
441.96	368.56	29.816
442.50	368.98	29.852
442.09	369.40	29.825
443.24	369.82	29.902
443.91	370.24	29.948
